"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bahamas","BHS","","","","","","","","","","","","","","","","","","","","","","90.34744","","","90.35065","","","","","","","","89.24923","89.52996","85.89953","","","","","70.7111","","","","","79.4314","82.12592","83.14323","85.49348","84.04865","81.54506","79.75847","74.73581","75.71744","68.50649","72.62728","58.91371","66.65546","65.13657","62.4958","",
"Bosnia and Herzegovina","BIH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.90999","95.19412","96.37232","97.40129","98.06344","98.50839","97.60838","96.37553","95.63948","",
"Belize","BLZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.27524","58.59082","60.15394","","68.07142","","65.00642","64.72732","64.16498","63.37331","63.70928","63.64555","65.33882","67.45447","69.13129","69.22614","69.39745","72.08962","70.34414","71.149","",
"Bermuda","BMU","","","","","","","","","","","","","","","","","","","62.85371","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.19615","72.76762","","","","","","","","",
"Bolivia","BOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.3867","65.13454","69.4617","72.04412","74.14804","74.68435","74.05262","73.1655","72.09962","72.78282","72.78318","72.385","73.56987","75.20722","75.86576","76.68761","76.9402","76.1901","76.55438","",
"Brazil","BRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.1817","","78.79924","","77.95811","76.39968","82.04583","81.92489","81.68909","82.32779","81.72855","","",
"Barbados","BRB","","","","","","","","","","","","","","","","","","","80.44977","","","84.61138","82.92038","82.91407","83.95341","87.79888","","","","81.8244","78.87825","","","","","","","","","94.89956","91.89882","86.51719","87.64809","89.49912","93.05113","92.19581","91.74959","92.11493","88.21988","84.39782","85.18712","88.83452","","","99.28103","98.12713","95.9634","95.94098","93.63078","",
"Brunei Darussalam","BRN","","","","","","","","","","","","","","","","","","49.52034","49.22443","50.24547","51.61776","50.98676","52.35966","54.21818","51.35726","","","","","","","67.8667","64.05243","65.11097","66.4349","","","","","","","","","","","88.24888","89.34426","87.6805","87.52486","89.11406","90.15449","91.16476","93.3478","91.37788","87.44971","85.06305","83.7965","84.04573","82.64549","",
"Bhutan","BTN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.79326","19.61823","22.06706","24.15914","","","","33.86471","36.80107","","44.05713","45.84115","50.06988","51.61726","55.06652","58.16924","61.73468","63.7082","64.54163","67.06537","70.19893","",
"Botswana","BWA","","","","","","","","","","","","6.88741","7.63231","8.96617","9.98217","11.44689","12.7657","13.74645","13.58212","13.5333","15.32198","16.58011","","","19.96255","22.74431","24.168","","","28.63336","31.77361","39.68134","40.16109","43.78824","43.10613","43.08806","","","62.07418","56.64096","59.25608","","58.0914","59.78544","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","","","","","","","","","","","","3.98638","4.76289","5.36927","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.45646","","13.81829","13.61317","","","","","12.71989","","",
"Canada","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.25919","","","","","","","","","","","","","","","","","","92.14326","91.46145","90.95273","92.4135","99.32178","99.80968","","",
"Central Europe and the Baltics","CEB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.32739","81.25881","81.95335","81.63724","82.83267","83.96686","85.36463","86.47308","86.86822","86.43209","87.42453","87.61808","88.0053","88.58306","88.54583","88.71338","88.62826","88.56838","89.68087","89.51156","89.81324","89.62629","89.76877","89.73885","",
"Switzerland","CHE","","","","","","","","","","","","","","","","","","","","","","79.03838","78.80167","78.47525","78.32774","78.16349","77.68906","77.26125","77.15978","76.81958","77.33685","78.14829","78.90112","80.00502","81.07155","","","","","84.63215","84.66111","84.14402","83.37213","83.3568","83.98112","84.72205","85.22291","84.85637","84.53242","83.63971","83.68751","83.20701","81.17079","83.55855","84.47933","85.13441","85.82816","85.32946","","",
"Channel Islands","CHI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.66387","85.6857","83.55124","84.80201","85.24744","84.55065","87.8075","88.54193","88.96612","88.96576","88.65187","","",
"China","CHN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.17366","","34.6828","37.99436","40.19814","",
"Cameroon","CMR","","","","","","","","","","","","6.86515","7.65745","8.48205","9.10231","10.14336","11.10677","12.03692","13.14179","13.7882","14.2977","15.14787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.66006","41.01904","43.96082","45.01617","45.99349","","","",
"Congo Dem. Rep.","COD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.48841","17.6214","18.30653","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo Rep.","COG","","","","","","","","","","","","","17.23066","","28.10853","","36.2393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.648","67.7345","70.40955","71.39134","74.13559","75.30739","77.26227","75.66677","76.31163","75.58286","75.60237","76.20192","76.5618","77.47078","",
"Comoros","COM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.41592","44.7685","","","42.9786","50.35748","",
"Cabo Verde","CPV","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.57087","","","","","","","24.11817","","","","","","","","57.2428","57.62792","57.0896","60.3446","60.58402","62.50202","","65.28223","65.4943","","69.36106","70.65632","71.03095","71.74531","71.59851","71.43748","70.42826","",
"Costa Rica","CRI","","","","","","","","","","","22.11069","","","30.44245","33.50941","33.62549","34.14619","","","37.68889","","38.97336","37.55369","","","34.70914","35.40541","36.18808","","36.58867","37.34656","37.77787","40.09984","40.88592","42.77224","42.9093","42.42682","","","","","","","","","","","","","","","75.30508","75.64349","76.95778","77.99166","80.32835","82.5849","81.86735","82.44799","",
"Caribbean small states","CSS","","","","","","","","","","","","","","","48.13205","53.19573","55.06298","56.11652","57.47948","58.65683","61.10869","59.04008","58.87349","59.37407","59.12758","60.50765","60.81042","61.81253","63.3931","62.83298","63.89757","65.18306","65.29212","64.35303","66.1665","67.83185","69.49139","71.1024","72.07722","73.46059","73.15722","74.00953","74.25208","73.79626","75.81996","75.16683","75.11725","75.36628","75.40196","75.13246","74.6868","74.97573","73.82884","73.13051","73.56486","72.70735","73.75093","73.90341","74.27317","",
"Cuba","CUB","","","","","","","","","","","","","20.5345","22.57113","26.69317","","","","","59.78832","","","","","","","67.6805","66.90236","67.3895","68.64962","68.61211","68.55566","66.64532","","59.87241","","","","","75.76883","80.49006","82.25167","82.60463","85.11799","85.1098","86.64633","88.66745","88.32925","87.50112","85.67697","88.24106","87.90295","86.64642","87.24085","85.14799","83.56161","84.18424","84.18099","84.18162","",
"Curacao","CUW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","","","","","","","","","","","","51.22608","53.41426","57.92186","60.63436","58.59046","63.06196","63.5443","61.748","61.92533","62.14607","62.0292","60.88027","60.91112","","","","","","","","","","","89.53134","89.54795","89.61305","89.00555","","87.81234","88.0464","88.30934","91.67274","92.80423","93.00759","94.10166","94.05908","95.09996","95.80445","95.52999","88.83383","89.68342","91.83179","93.17237","94.71498","94.63238","94.09316","95.337","","",
"Czech Republic","CZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.47714","89.18993","","89.68074","","","","","","","","","87.77459","88.87644","90.16472","91.00416","90.51857","","",
"Germany","DEU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.58207","89.62782","89.76944","90.09314","89.71943","89.12277","89.52043","88.17308","88.12181","88.47512","88.0323","87.32363","86.63283","86.12309","85.46939","85.29882","","",
"Djibouti","DJI","","","","","","","","","","","","","","","","","","","","","","","","","","9.0938","9.36461","9.96238","9.3606","","","","","","","","","11.44128","","","","14.17161","14.7086","","19.26153","21.2435","","","26.46648","","","","","","","37.8168","","","","",
"Dominica","DMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.08058","88.51696","85.13978","","87.81282","87.40997","84.78321","72.56556","","","70.23535","73.52168","72.73973","","","","80.9661","87.73568","","","",
"Denmark","DNK","","","","","","","","","","","","","","","","","","","","","","87.9823","87.78228","87.04901","85.0807","83.92338","83.29392","83.56807","84.6473","86.31438","87.10454","87.11601","86.75411","86.55325","87.08292","86.71742","87.28194","","87.9482","","88.60073","89.47715","91.05446","93.92329","91.19584","91.57663","89.38548","89.25386","89.33902","89.83744","90.13414","91.17921","90.22411","90.11001","89.4441","89.39882","89.88581","90.92146","","",
"Dominican Republic","DOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.66008","40.60467","","50.94075","","50.03848","53.29682","","62.2369","60.8427","64.31607","63.72856","63.17685","63.82419","65.55798","66.95176","67.83227","68.88978","70.27235","70.60614","",
"Algeria","DZA","","","","","","","","","","","","9.76547","","","","","","","","","","","","","38.9646","","","","","","","","","","","52.54394","53.0662","52.9321","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.99431","62.34993","63.01623","63.72722","63.59607","64.86047","66.26525","67.06287","68.14741","70.20499","70.16523","72.04053","74.03742","75.58281","74.77548","76.30379","78.85949","78.55537","78.6135","78.30426","78.46543","",
"Early-demographic dividend","EAR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.51897","42.10724","42.65316","","","43.36455","44.71883","45.48601","46.83975","48.40217","49.63541","50.70762","52.05767","53.93973","55.10672","55.18157","56.88916","58.92174","60.30106","61.58025","62.1179","62.53617","62.77726","63.76386","64.08017","",
"East Asia & Pacific","EAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.97727","63.19142","63.76998","64.41759","64.31124","65.56578","66.95903","67.772","68.8405","70.8343","70.83102","72.67283","74.56665","76.05022","75.38456","76.80045","79.21913","78.92814","79.01017","78.7363","78.90534","",
"Europe & Central Asia (excluding high income)","ECA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.97245","81.64213","83.45605","83.40459","83.68168","81.99364","80.63589","81.34277","82.16796","82.26676","82.06513","84.09228","85.73788","86.24599","88.22682","88.81447","89.01455","88.20588","88.63549","88.08639","",
"Europe & Central Asia","ECS","","","","","","","","","","","","","","","","","","","","","","78.95831","79.28325","79.61639","79.89069","80.47146","81.36614","81.791","81.94486","81.95734","81.78736","81.56318","","","","","83.55694","83.4842","83.0164","83.461","84.63935","85.8942","86.27247","86.65042","85.97591","85.80879","86.20452","86.4081","86.72783","86.6353","87.83752","88.24032","88.28786","89.4201","89.92729","90.22944","89.93778","90.20232","89.92563","",
"Ecuador","ECU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.12997","47.17097","47.76897","48.55978","49.94952","49.94144","50.72485","53.08892","54.49689","56.01364","","69.16066","71.80644","72.8084","76.17987","80.13801","83.36107","84.72536","85.92267","85.3386","84.67039","",
"Egypt Arab Rep.","EGY","","","","","","","","","","","","26.38686","26.14083","28.90658","28.74886","","","","","","","","","","","","","","","","","","","","64.5053","","","","","","","","","","","","","","","","","","","","76.81479","","80.74153","81.65996","82.77635","",
"Euro area","EMU","","","","","","","","","","","","","","","","73.02254","73.80958","74.84289","75.28913","75.66325","76.22538","76.17909","76.51036","76.9873","77.35963","77.9843","79.18123","79.79006","79.97229","80.26761","80.39367","81.48579","83.03105","85.74047","88.4436","88.64476","88.9461","88.64937","86.58209","86.19609","86.81765","87.22753","88.03141","88.46882","89.46641","90.67789","91.22277","90.72391","91.25926","91.16182","91.3596","90.81806","90.61763","90.02466","89.83049","90.03888","90.38816","90.58376","90.60507","",
"Eritrea","ERI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.98817","17.20103","","20.0927","","24.90625","27.63756","26.97164","27.3134","27.76501","29.89231","32.07118","34.31103","35.72305","38.30874","42.17554","46.63161","48.75162","51.39255","48.24244","48.19877","42.78074","","40.69051","41.57501","",
"Spain","ESP","","","","","","","","","","","","46.03706","45.27388","52.14207","","58.13073","61.53776","64.58672","66.315","69.11859","72.43316","73.5598","","","","","","","","","","","","","","","","","","87.22194","88.76119","90.33215","90.92089","91.28496","92.41558","93.27141","92.8639","92.07332","91.50683","91.07021","90.86856","89.39714","89.80611","90.5337","91.42704","92.77119","94.94198","96.87779","","",
"Estonia","EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.75907","83.95348","85.07887","85.7722","88.4054","89.4797","91.47287","93.41205","93.78821","92.89928","91.89447","91.23404","90.93238","91.33162","91.28602","92.09885","92.68432","93.82438","94.2014","94.36474","","",
"Ethiopia","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.96812","12.48979","13.21767","15.0676","","","","","","","","","","","","30.09293","30.8138","","","","",
"European Union","EUU","","","","","","","","","","","","","","","","73.38142","74.14046","75.10009","75.56159","75.99452","76.61292","76.99051","77.46085","77.89215","78.14864","78.78205","79.93555","80.53791","80.73092","81.03931","81.18913","81.41288","82.12079","85.1068","87.10998","87.25775","87.63187","87.50363","86.32926","86.50022","87.16646","87.80873","88.69977","89.06678","89.4852","90.59826","90.58935","90.2333","90.918","91.09391","91.46895","90.66274","90.25664","90.53868","90.84754","91.19895","91.32184","91.44627","91.46641","",
"Fragile and conflict affected situations","FCS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.20481","22.14214","22.2499","22.85873","23.60075","23.79204","24.01738","24.56148","24.77815","25.72943","26.42205","26.75585","28.39825","30.21112","30.85191","31.97246","32.37373","33.81246","34.84787","35.5295","35.93476","36.6002","35.62697","36.03712","36.51341","36.85874","37.63171","37.62826","",
"Finland","FIN","","","","","","","","","","","","70.421","","","","","","","","84.82012","","","","","","","","","","","","92.9061","","94.72554","94.63973","92.20016","92.44898","93.15815","97.17798","94.4922","94.47773","94.18191","94.39933","94.95765","95.10188","95.79214","96.22216","95.81085","94.97304","94.24573","93.90982","93.49709","92.86466","94.476","94.61306","95.26385","95.93474","96.1047","","",
"Fiji","FJI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.58069","72.26564","74.79579","75.86326","76.51975","83.30853","","85.43666","81.22868","","80.43713","","85.09221","84.52339","","","","","","","",
"France","FRA","","","","","","","","","","","","","","","","","76.25555","77.03062","","76.79625","76.98573","77.14668","77.4243","78.38809","","80.90127","81.31056","81.5499","81.63866","82.00271","82.68329","","88.46125","89.6024","95.50216","96.21678","95.53034","94.93124","","90.10899","89.91505","89.6317","89.28409","89.03434","88.89251","92.63271","92.66312","92.60787","92.59771","92.6832","92.55883","92.86607","93.22666","93.39347","92.95679","93.58103","93.95576","94.66595","","",
"Faroe Islands","FRO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia Fed. Sts.","FSM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","","","","","","","","","","","","70.19831","70.58994","71.20154","76.53078","76.47202","77.38921","76.91629","76.13394","75.53121","","76.80322","77.59085","78.83851","78.90733","","80.26647","80.10621","","","78.43803","80.9996","83.63754","92.06388","93.9031","94.8189","93.93028","92.76342","93.50332","94.65621","94.68536","94.95354","95.64137","95.47093","95.02938","95.55691","92.34619","91.17435","92.61934","94.46231","96.16818","92.958","90.8005","93.84317","97.18701","98.13521","","97.13247","","",
"Georgia","GEO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.62613","76.91283","","82.18443","85.2912","","","","","88.04291","88.2985","91.36429","91.34337","87.67605","","","","88.75413","90.22179","91.29973","92.4141","94.21028","95.94754","",
"Ghana","GHA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.73723","32.14966","30.42478","31.88805","32.85822","","36.65545","38.06956","43.33563","44.01556","42.53878","","","","52.66323","52.13977","55.58338","55.43891","55.4414","58.2609","57.24406",
"Gibraltar","GIB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.36282","93.83962","","",
"Guinea","GIN","","","","","","","","","","","","","","","","","","","","","","","","","","","7.97311","","","6.55104","6.24106","","","","","","","","","12.00841","","16.0888","18.04796","19.20104","20.36491","23.22898","25.549","","","","","30.02945","","","32.20633","","","","","",
"Gambia","GMB","","","","","","","","","","","","","","","","","","","7.60565","7.49428","","","","12.23244","14.03888","14.78404","14.63149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","","","","","","","","","","","","","","","","","","","","","","2.69955","3.50441","","3.56842","","","","","","","","","","","","","","","","8.55698","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.65151","","18.12672","","","","20.36275","","","","","","","","","","","","","","",
"Greece","GRC","","","","","","","","","","","","50.38854","55.07287","56.29637","56.7926","57.56031","60.10059","62.00223","64.02107","65.31781","71.42819","","75.34419","","76.30285","77.77186","78.99694","81.0754","80.78249","81.48012","80.79063","81.25462","81.4163","","79.84033","80.90449","81.12858","80.76816","80.39055","79.8864","79.81704","81.9838","84.87402","84.42879","86.17291","89.97076","90.06458","87.76634","","","95.21512","","","93.39264","91.30938","92.49466","92.48486","93.34588","","",
"Grenada","GRD","","","","","","","","","","","","","22.73973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.54521","82.07647","89.13555","86.42776","","","","","","","","88.37907","91.55919","95.53421","","87.72998","","",
"Greenland","GRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","","","","","","","","","","","","","7.40452","","8.80494","9.30466","","","","13.46789","12.10072","","13.42526","","","","","","","","","","","","","","","","","22.06259","24.4983","27.54215","28.33468","","","","","","36.74233","38.34263","41.79092","42.21131","42.66609","42.87372","43.12295","44.13192","43.92075","43.59611","43.77665","",
"Guam","GUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","","","","","","","","","","","","53.50782","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.71633","","","","","","","","","","76.15302","","86.77272","82.33976","","","","","","","",
"High income","HIC","","","","","","","","","","","","","","","","","","","","","","","","75.13417","75.89377","76.07023","76.83735","77.27301","76.92701","76.76111","76.64903","77.6908","78.90368","81.25825","83.2342","83.74972","84.14516","84.23718","83.77723","83.46767","83.89104","84.70912","84.9358","86.18926","86.83769","87.43483","87.37573","87.21115","87.53733","87.8061","87.93087","88.15138","88.29552","88.67842","89.1936","89.87371","90.53649","90.745","90.81931","",
"Hong Kong SAR China","HKG","","","","","","","","","","","","33.87941","35.30299","37.22131","39.62656","43.02282","45.34576","48.34647","51.56288","55.39661","58.50658","60.87547","","65.0753","66.39646","68.429","","","","","","","","","","","77.28146","","","","","72.8222","72.80981","73.28081","74.14769","75.10865","75.59361","76.89025","78.07838","78.97387","79.86728","78.43632","90.01135","88.72314","88.86817","89.30273","91.4471","93.73494","96.14117","",
"Honduras","HND","","","","","","","","","","","","","","","","","","","","","","","","24.38114","","","","","","","","19.89342","","","","","","","","","","","","","","","","","","","","","","42.20253","41.1479","40.80784","42.5185","43.77822","","",
"Heavily indebted poor countries (HIPC)","HPC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.79937","14.79945","15.10326","15.49938","15.52114","15.57631","16.21013","16.75426","17.42459","17.95761","18.72361","19.40317","20.51107","21.72503","23.21675","24.70388","26.41139","27.64159","28.896","29.74624","30.5583","30.81079","31.47466","32.43202","32.2428","32.53769","32.8487","",
